update_period,update_window,update_epochs,lr,MAE,RMSE,MAPE
0.0,50.0,3.0,0.005,211.2601846337372,297.0017137071047,12.748126134028984
1.0,50.0,3.0,0.005,45.6668346944945,127.67651004458597,1.896959482211109
2.0,50.0,3.0,0.005,50.30765555647761,126.56811060367093,2.0942796528671526
3.0,50.0,3.0,0.005,51.37143277011808,118.53873109906931,2.086888246987102
4.0,50.0,3.0,0.005,58.853751726692906,143.17793842827277,2.5496019758986774
5.0,50.0,3.0,0.005,61.6731082561765,161.28184404994525,2.933234591897997
6.0,50.0,3.0,0.005,58.52275534664265,130.36966988570646,2.555047409826372
7.0,50.0,3.0,0.005,58.68242191323265,123.58697724445538,2.387311837876344
8.0,50.0,3.0,0.005,61.66926995684751,145.61395715586997,2.6992356585722277
9.0,50.0,3.0,0.005,67.5860756736651,141.03869418244386,2.819589735486024
10.0,50.0,3.0,0.005,60.55896591396765,148.80706961088705,2.705655185408569
11.0,50.0,3.0,0.005,75.82211975768209,165.5222263319269,3.1941009623217926
12.0,50.0,3.0,0.005,74.98476929711211,171.73235089777597,2.9392011075509354
13.0,50.0,3.0,0.005,85.2960238888823,177.9709900340438,3.6412969996804643
14.0,50.0,3.0,0.005,71.30083944038078,165.1921603701415,3.171832254324139
15.0,50.0,3.0,0.005,74.97367542796852,168.63565890562256,3.0268485565337446
16.0,50.0,3.0,0.005,99.37548156534521,231.46367712115364,4.386676103337685
17.0,50.0,3.0,0.005,81.16474359766217,168.7703094343046,3.1238940025721416
18.0,50.0,3.0,0.005,65.4778191509982,152.16116516173645,2.8044499450403544
19.0,50.0,3.0,0.005,89.16456790117603,185.91574058849113,3.726420613821038
20.0,50.0,3.0,0.005,97.51243994066532,192.60817666145982,4.186632303788091
21.0,50.0,3.0,0.005,102.05066940943902,196.69528735613406,4.698845058532209
22.0,50.0,3.0,0.005,106.66762160855701,216.02497201698046,4.833793831518155
23.0,50.0,3.0,0.005,99.67616886706894,208.71668915432855,4.229478798569928
24.0,50.0,3.0,0.005,109.55430269554961,204.66433623327367,4.52736812645179
25.0,50.0,3.0,0.005,106.045247286075,202.05411512486293,4.805727294117448
26.0,50.0,3.0,0.005,100.45759134371445,187.0097184587268,4.248199974786968
27.0,50.0,3.0,0.005,119.63737392681857,207.8827502573913,5.569548928943706
28.0,50.0,3.0,0.005,99.83452433463344,203.01481444098204,3.943199206324373
29.0,50.0,3.0,0.005,107.29460672657436,209.75197950552337,5.067156434392235
30.0,50.0,3.0,0.005,98.12172285126613,195.1876789458784,3.935648212385592
31.0,50.0,3.0,0.005,106.70063616748861,204.4053800227522,4.663797245294156
32.0,50.0,3.0,0.005,121.15651056347211,219.75471870481414,5.866548083592657
33.0,50.0,3.0,0.005,103.86659332084596,189.34584789836427,4.492388757259805
34.0,50.0,3.0,0.005,102.86693251345551,198.9998952365509,4.903698870110245
35.0,50.0,3.0,0.005,118.83835214932664,219.2972562249242,6.0237311081294855
36.0,50.0,3.0,0.005,121.81421782678537,201.16904521583012,5.589540678968088
37.0,50.0,3.0,0.005,98.72540189533147,191.83450443953868,4.535289688313497
38.0,50.0,3.0,0.005,111.13639204257163,211.86401408327305,5.459168602121188
39.0,50.0,3.0,0.005,129.5255631881876,231.89168354822567,6.671634083643864
40.0,50.0,3.0,0.005,121.21642321284617,198.32189774352287,6.041270431045233
41.0,50.0,3.0,0.005,119.71935093388421,194.47699873324683,5.1988325124689085
42.0,50.0,3.0,0.005,118.57840620495067,196.17126431376383,5.13867516842226
43.0,50.0,3.0,0.005,131.41438261689112,207.4987244183656,5.531772963249017
44.0,50.0,3.0,0.005,121.2041132151579,193.97774663322508,5.0221696918294665
45.0,50.0,3.0,0.005,99.83026345285235,190.95944646810662,3.8317222595554563
46.0,50.0,3.0,0.005,122.60146272613572,198.5686229797773,5.225360229048403
47.0,50.0,3.0,0.005,127.66890227973254,204.00628494481282,5.496887200671885
48.0,50.0,3.0,0.005,127.72559526152314,203.5681530852048,5.7418186940871925
49.0,50.0,3.0,0.005,132.02273342866795,208.63260979610777,5.78320032401601
50.0,50.0,3.0,0.005,139.97942665734067,225.83455514714208,7.296561295427076
