calib_period,warmN,MAE,RMSE,MAPE
0.0,10.0,39.239665080266974,124.78311588518962,1.4478070264174703
1.0,10.0,41.76528935617097,104.99558834312445,1.6170511842594504
2.0,10.0,42.70016165021671,120.6305567109204,1.6330675902326837
3.0,10.0,49.19419557356429,110.33856459765876,1.7984302600259179
4.0,10.0,47.48057295005532,126.42673870610439,1.8224029373106476
5.0,10.0,53.59831480810621,130.20686714356384,1.9592184277660902
6.0,10.0,64.3920705533259,139.5970965124796,2.7863637239372068
7.0,10.0,55.09817015522117,115.75872765096821,2.0151108102102655
8.0,10.0,65.7815448852761,142.46052159399875,3.102890348922456
9.0,10.0,62.26631060743615,147.38735051808635,2.8026254222739038
10.0,10.0,49.343009432351394,124.92546434187959,1.9143747793750494
11.0,10.0,75.04680584690837,141.95365517219707,3.5983784695039955
12.0,10.0,94.14877007145266,176.56444343284912,4.662941497695835
13.0,10.0,60.56556466705968,125.8043367076153,2.3210344189279244
14.0,10.0,68.46408078496253,133.48093937510507,2.8006027832431486
15.0,10.0,73.02349403991069,155.13169649242462,3.1519051833854514
16.0,10.0,50.4696794373662,125.4498847641987,1.9107858890311544
17.0,10.0,76.92807025356795,176.5204792411565,3.4689853449488677
18.0,10.0,159.3318284684284,259.26947024668243,8.763951869860248
19.0,10.0,66.54466485188328,131.596749264205,2.8508980479870494
20.0,10.0,125.83788566218075,201.6234367478875,6.886119872742645
21.0,10.0,59.87714500648476,126.67724284764913,2.421599536115716
22.0,10.0,70.88935812943416,175.8354525200295,2.485941003352777
23.0,10.0,61.14261063115292,134.81128371481694,2.3076543233680162
24.0,10.0,103.47903956254387,206.8459413754169,4.813233404701549
25.0,10.0,52.4582747868732,127.8552582911257,2.0764883147694615
26.0,10.0,67.87669438669933,135.4823061797256,2.9871573043791266
27.0,10.0,54.56091210558948,131.65263216915181,2.137118549997769
28.0,10.0,66.09717279376838,134.69277951481817,2.940535492819249
29.0,10.0,90.05738571927004,156.85396019860164,3.2614214061208417
30.0,10.0,88.25095525626924,178.66369882653268,4.076417365355078
31.0,10.0,67.37764976999811,133.62648426737076,2.3663216129998754
32.0,10.0,73.14289910387531,147.8308696160795,2.7927123486510785
33.0,10.0,132.00747945578317,195.9790280175165,6.394690578881403
34.0,10.0,81.71328938692697,148.8215921752504,3.619585635465334
35.0,10.0,102.56278695248326,167.62214251816516,3.7040777087236862
36.0,10.0,155.32466316997352,228.14510372664563,7.77389529176996
37.0,10.0,84.89718042940814,146.60088735478703,3.485170203449549
38.0,10.0,73.01418771855171,139.7903993000762,3.187293834217338
39.0,10.0,77.34226287798685,156.72310499705895,3.334704625828546
40.0,10.0,106.77433509575349,190.42441319417236,5.410466521126833
41.0,10.0,47.804210522835405,121.08735598200936,2.006029268751096
42.0,10.0,49.47555720641429,126.63259350641297,1.8296504918286838
43.0,10.0,107.24022715774903,183.22580409583776,3.605708177138075
44.0,10.0,126.45441942222867,341.82782489162946,4.021756795442416
45.0,10.0,107.16804340293287,187.54798904032202,4.274126011747388
46.0,10.0,74.14380387240803,144.8073074791705,2.563366848922234
47.0,10.0,131.38961796082174,215.1176706118677,4.619965641495181
48.0,10.0,55.896118627344904,125.73160103822664,2.1457837847781978
49.0,10.0,68.26386048143252,133.43812136063616,2.5458455950014494
50.0,10.0,74.47234599849855,131.67622132331294,3.458550402633171
